                  name                  	     objname     	   celposj(pgc)   	      type       	       bar       	      ring       	    multiple     	   compactness   	        t        	       e_t       	     logd25      	    e_logd25     	     logr25      	    e_logr25     	       pa        	      m21c       
Mrk198                                  	  PGC038613      	 J120914.1+470330 	 S0              	 B               	 R               	                 	                 	-1.6	1.4	0.884	0.06	0.088	0.028	27.39	                 
Mrk202                                  	  PGC039472      	 J121755.0+583936 	 E               	                 	                 	 M               	 C               	-5	3	0.719	0.075	0.09	0.027	119.19	                 
Mrk279                                  	  UGC08823       	 J135303.3+691829 	 S0              	                 	                 	                 	 C               	-2	0.4	0.834	0.067	0.182	0.028	44.57	                 
Mrk290                                  	  PGC055551      	 J153552.4+575410 	 E               	                 	                 	                 	                 	-4.8	0.8	0.739	0.236	0.051	0.1	73.61	                 
Mrk3                                    	  UGC03426       	 J061536.4+710215 	 S0              	                 	                 	                 	                 	-2	0.5	1.234	0.071	0.066	0.057	15	15.304
Mrk335                                  	  PGC000473      	 J000619.5+201210 	 E               	                 	                 	                 	 C               	-5	2	0.639	0.312	0	0.088	                 	                 
Mrk348                                  	  NGC0262        	 J004847.1+315725 	 S0-a            	                 	                 	                 	                 	-0.5	1	1.069	0.045	0.28	0.028	                 	14.039
Mrk352                                  	  PGC003575      	 J005953.3+314937 	 S0              	                 	                 	                 	                 	-2	0.5	0.8	0.063	0.06	0.028	100.5	16.541
Mrk359                                  	  UGC01032       	 J012732.6+191044 	 S0              	 B               	 R               	                 	                 	-2	1.2	0.888	0.052	0.109	0.034	11.78	18.031
Mrk417                                  	  PGC032398      	 J104930.9+225752 	 E               	                 	                 	                 	                 	-5	3	0.724	0.083	0.101	0.027	10.6	                 
Mrk477                                  	  PGC052436      	 J144038.1+533016 	 S0              	                 	                 	 M               	 C               	-2.3	3	0.806	0.165	0.135	0.067	                 	                 
Mrk50                                   	  PGC040220      	 J122324.1+024045 	 S0-a            	                 	                 	                 	                 	0	2	0.791	0.074	0.164	0.031	172.17	                 
Mrk509                                  	  PGC065282      	 J204409.8-104325 	                 	                 	                 	                 	                 	                 	                 	0.767	0.123	0.091	0.042	80	                 
Mrk590                                  	  NGC0863        	 J021433.6-004601 	 Sa              	                 	                 	                 	                 	1	0.4	1.104	0.037	0.043	0.026	                 	15.703
Mrk595                                  	  PGC010201      	 J024134.9+071114 	 E               	                 	                 	                 	 C               	-5	2	                 	                 	                 	                 	115	                 
Mrk6                                    	  IC0450         	 J065212.4+742537 	 S0-a            	 B               	                 	                 	                 	-0.8	0.7	1.14	0.041	0.236	0.026	129.5	19.676
Mrk618                                  	  PGC015623      	 J043622.3-102234 	 SBb             	 B               	                 	                 	                 	3	0.5	0.96	0.11	0.127	0.062	                 	16.245
Mrk653                                  	  PGC042398      	 J123951.7+345830 	 Sa              	                 	                 	                 	 C               	1	1.4	1.01	0.048	0.222	0.036	125.65	                 
Mrk704                                  	  PGC026292      	 J091826.0+161820 	 S0-a            	                 	                 	                 	                 	-0.5	1.5	0.884	0.058	0.217	0.034	76.5	                 
Mrk728                                  	  PGC033214      	 J110101.8+110249 	 S0-a            	 B               	 R               	                 	                 	-1.5	1.2	0.815	0.211	0.189	0.1	160.69	18.029
Mrk739E                                 	  2MASXJ11362932+2135454 	 J113629.3+213545 	 Sab             	                 	                 	                 	                 	2	2	                 	                 	                 	                 	90	                 
Mrk766                                  	  NGC4253        	 J121826.5+294846 	 SBa             	 B               	 R               	                 	                 	1	0.7	0.948	0.046	0.142	0.029	73.13	17.111
Mrk79                                   	  UGC03973       	 J074232.6+494835 	 Sb              	 B               	                 	                 	                 	3	0.4	1.127	0.04	0.088	0.028	73	16.146
Mrk817                                  	  UGC09412       	 J143622.1+584739 	 S0-a            	                 	 R               	                 	 C               	0	2	0.873	0.113	0.035	0.056	                 	                 
Mrk841                                  	  PGC053765      	 J150401.2+102616 	 E               	                 	                 	                 	                 	-5	2	                 	                 	                 	                 	70	                 
Mrk885                                  	  PGC058354      	 J162948.3+672242 	 SABa            	 B               	                 	                 	                 	1.6	2.6	0.967	0.053	0.193	0.034	178	                 
Mrk926                                  	  PGC070409      	 J230443.5-084109 	 Sbc             	                 	                 	                 	                 	3.5	2.1	0.907	0.052	0.099	0.023	104.12	                 
Mrk975                                  	  UGC00774       	 J011351.0+131619 	 Sb              	                 	                 	 M               	                 	2.7	1.8	0.989	0.046	0.195	0.028	85.6	17.768
NGC1052                                 	  NGC1052        	 J024104.8-081521 	 E               	                 	                 	                 	                 	-4.7	0.7	1.469	0.024	0.152	0.021	109.01	15.401
NGC1106                                 	  NGC1106        	 J025040.6+414018 	 S0              	                 	                 	                 	                 	-1.6	0.6	1.261	0.072	0	0.047	                 	                 
NGC1125                                 	  NGC1125        	 J025140.4-163902 	 S0-a            	 B               	 R               	 M               	                 	0	0.5	1.178	0.038	0.356	0.031	53.5	16.115
NGC1194                                 	  NGC1194        	 J030349.1-010613 	 S0-a            	                 	                 	 M               	                 	-0.7	0.9	1.19	0.036	0.303	0.027	139.26	15.681
NGC1365                                 	  NGC1365        	 J033336.4-360826 	 Sb              	 B               	                 	                 	                 	3.2	0.6	2.08	0.019	0.292	0.036	19.96	12.406
NGC2110                                 	  NGC2110        	 J055211.4-072722 	 E-S0            	 B               	                 	                 	                 	-3	0.5	1.263	0.036	0.102	0.023	175.07	                 
NGC235A                                 	  ESO474-016     	 J004252.7-233227 	 S0              	                 	                 	 M               	                 	-2.2	1	1.141	0.033	0.352	0.027	120.39	16.057
NGC2655                                 	  NGC2655        	 J085538.4+781324 	 S0-a            	 B               	                 	                 	                 	0.1	0.5	1.594	0.028	0.28	0.028	16	15.217
NGC2885                                 	  IC0538         	 J092718.5+230112 	 S0-a            	                 	 R               	                 	                 	-1.2	1.9	1.101	0.094	0.188	0.058	78.97	                 
NGC2992                                 	  NGC2992        	 J094542.0-141935 	 Sa              	                 	                 	 M               	                 	0.9	0.5	1.465	0.033	0.626	0.079	17	13.283
NGC3035                                 	  NGC3035        	 J095155.0-064923 	 Sbc             	 B               	 R               	                 	                 	4	0.6	1.168	0.058	0.094	0.038	0	16.429
NGC3079                                 	  NGC3079        	 J100158.0+554048 	 SBc             	 B               	                 	                 	                 	6.4	1.1	1.913	0.019	0.802	0.031	166.2	11.949
NGC3081                                 	  NGC3081        	 J095929.5-224935 	 S0-a            	 B               	 R               	                 	                 	0	0.7	1.426	0.027	0.224	0.028	70.86	14.906
NGC3227                                 	  NGC3227        	 J102330.6+195154 	 SABa            	 B               	                 	 M               	                 	1.5	0.9	1.6	0.027	0.33	0.028	156	14.638
NGC3281                                 	  NGC3281        	 J103152.1-345113 	 Sab             	                 	 R               	                 	                 	2.4	0.8	1.491	0.022	0.386	0.026	140.4	16.777
NGC3393                                 	  NGC3393        	 J104823.4-250943 	 SBa             	 B               	                 	                 	                 	1.2	0.7	1.289	0.026	0.059	0.024	12.75	14.704
NGC3431                                 	  NGC3431        	 J105115.0-170029 	 SABb            	 B               	                 	                 	                 	2.8	0.8	1.176	0.035	0.575	0.027	132.6	16.022
NGC3516                                 	  NGC3516        	 J110647.5+723407 	 S0              	 B               	 R               	                 	                 	-1.9	0.5	1.282	0.046	0.072	0.057	55	                 
NGC3718                                 	  NGC3718        	 J113234.8+530404 	 Sa              	 B               	                 	 M               	                 	1.1	0.6	1.672	0.023	0.303	0.025	9.25	12.446
NGC3783                                 	  NGC3783        	 J113901.7-374419 	 SBa             	 B               	 R               	                 	                 	1.4	0.5	1.332	0.033	0.045	0.027	162.5	14.909
NGC3786                                 	  NGC3786        	 J113942.4+315426 	 SABa            	 B               	 R               	 M               	                 	1.1	0.5	1.292	0.032	0.29	0.025	71.99	14.944
NGC4051                                 	  NGC4051        	 J120309.7+443152 	 SABb            	 B               	                 	                 	                 	4	0.1	1.689	0.033	0.06	0.051	146.4	13.761
NGC4102                                 	  NGC4102        	 J120623.6+524239 	 SABb            	 B               	 R               	                 	                 	3.1	0.5	1.468	0.051	0.245	0.052	37	14.963
NGC4138                                 	  NGC4138        	 J120929.8+434107 	 S0-a            	                 	 R               	                 	                 	-0.8	1.1	1.465	0.031	0.251	0.057	149.67	14.473
NGC4151                                 	  NGC4151        	 J121032.6+392421 	 Sab             	 B               	 R               	 M               	                 	1.9	0.5	1.459	0.038	0.114	0.041	50	13.517
NGC4180                                 	  NGC4180        	 J121303.1+070220 	 SABa            	 B               	                 	                 	                 	2	0.6	1.16	0.064	0.47	0.052	21.33	15.919
NGC4235                                 	  NGC4235        	 J121709.9+071130 	 Sa              	 B               	                 	                 	                 	1	0.4	1.644	0.032	0.693	0.041	49	14.986
NGC424                                  	  NGC0424        	 J011127.7-380501 	 S0-a            	 B               	 R               	                 	                 	0.1	0.5	1.219	0.041	0.386	0.053	61.3	14.623
NGC4388                                 	  NGC4388        	 J122546.8+123944 	 SBb             	 B               	 R               	                 	                 	2.8	0.7	1.731	0.019	0.621	0.028	91.08	14.597
NGC4507                                 	  NGC4507        	 J123536.6-395433 	 Sab             	 B               	 R               	                 	                 	1.8	1.8	1.142	0.038	0.066	0.023	49.84	15.075
NGC4619                                 	  NGC4619        	 J124144.6+350346 	 Sb              	 B               	 R               	 M               	                 	3.1	0.5	1.138	0.068	0.013	0.045	                 	16.497
NGC4748                                 	  NGC4748        	 J125212.4-132453 	 S?              	                 	                 	                 	                 	4.5	5.7	1.104	0.038	0.19	0.023	66	                 
NGC4939                                 	  NGC4939        	 J130414.4-102022 	 Sbc             	                 	 R               	                 	                 	4	0.1	1.757	0.03	0.395	0.037	6.26	13.352
NGC4941                                 	  NGC4941        	 J130413.1-053306 	 SABa            	 B               	 R               	                 	                 	2.1	0.6	1.517	0.034	0.086	0.05	                 	15.471
NGC4992                                 	  NGC4992        	 J130905.6+113803 	 SBa             	 B               	 R               	                 	                 	1	0.5	1.024	0.092	0.247	0.045	10.71	16.804
NGC5033                                 	  NGC5033        	 J131327.5+363538 	 Sc              	                 	                 	 M               	                 	5	0.8	1.993	0.021	0.332	0.053	171.75	12.215
NGC5106                                 	  NGC5100        	 J132059.6+085842 	 Sb              	                 	                 	 M               	                 	3	1.4	0.973	0.102	0.15	0.066	22.28	17.813
NGC513                                  	  NGC0513        	 J012426.8+334758 	 Sc              	                 	                 	                 	                 	5.5	1.9	0.791	0.121	0.297	0.05	81.15	17.018
NGC5231                                 	  NGC5231        	 J133548.2+025956 	 SBa             	 B               	                 	                 	                 	1.1	0.5	1.062	0.041	0.184	0.035	133.21	                 
NGC5252                                 	  NGC5252        	 J133815.9+043233 	 S0              	                 	                 	                 	                 	-2	0.6	1.111	0.043	0.234	0.024	11.21	17.507
NGC526A                                 	  NGC0526        	 J012354.4-350355 	 S0              	                 	                 	 M               	                 	-2	1.1	1.23	0.05	0.333	0.042	109.67	                 
NGC5273                                 	  NGC5273        	 J134208.4+353916 	 S0              	                 	                 	                 	                 	-1.9	0.5	1.363	0.032	0.18	0.028	5.93	                 
NGC5290                                 	  NGC5290        	 J134519.1+414245 	 Sbc             	                 	                 	                 	                 	4	0.4	1.51	0.056	0.555	0.051	94.84	14.953
NGC5506                                 	  NGC5506        	 J141314.9-031227 	 SABa            	 B               	                 	 M               	                 	1.2	1.1	1.46	0.029	0.577	0.022	88.76	14.264
NGC5548                                 	  NGC5548        	 J141759.6+250813 	 S0-a            	                 	 R               	 M               	                 	0.4	0.6	1.125	0.035	0.105	0.026	118.21	17.106
NGC5610                                 	  NGC5610        	 J142423.0+243651 	 SBab            	 B               	                 	                 	                 	1.6	0.7	1.238	0.037	0.457	0.024	104.62	16.197
NGC5674                                 	  NGC5674        	 J143352.3+052730 	 Sc              	 B               	 R               	 M               	                 	4.9	0.7	1.059	0.042	0.58	0.028	5.5	15.932
NGC5683                                 	  NGC5683        	 J143452.4+483943 	 S0-a            	 B               	 R               	                 	 C               	0.1	0.5	0.755	0.066	0.068	0.029	95.36	16.796
NGC5728                                 	  NGC5728        	 J144223.9-171511 	 Sa              	 B               	 R               	                 	                 	1.2	0.7	1.505	0.057	0.234	0.064	14.5	15.032
NGC5899                                 	  NGC5899        	 J151503.3+420300 	 Sc              	 B               	                 	 M               	                 	5.2	0.7	1.323	0.034	0.395	0.026	20.83	14.577
NGC5995                                 	  NGC5995        	 J154824.9-134527 	 SABa            	 B               	                 	                 	                 	0.9	0.5	1.008	0.045	0.113	0.022	146.72	15.748
NGC6221                                 	  NGC6221        	 J165246.1-591304 	 Sc              	 B               	                 	                 	                 	4.9	0.5	1.685	0.02	0.187	0.029	0.8	12.528
NGC6240                                 	  NGC6240        	 J165258.9+022403 	 S0-a            	                 	                 	 M               	                 	0	2.6	1.342	0.054	0.328	0.063	12.21	16.089
NGC6300                                 	  NGC6300        	 J171659.4-624913 	 SBb             	 B               	 R               	                 	                 	3.1	0.6	1.727	0.021	0.199	0.027	118.63	13.292
NGC6552                                 	  NGC6552        	 J180007.3+663654 	 SBab            	 B               	 R               	                 	                 	2	2	1.026	0.046	0.16	0.026	103.25	                 
NGC6814                                 	  NGC6814        	 J194240.6-101925 	 SABb            	 B               	 R               	                 	                 	4	0.1	1.489	0.022	0.62	0.028	109.78	13.629
NGC6860                                 	  NGC6860        	 J200846.8-610600 	 SBb             	 B               	 R               	                 	                 	2.9	0.6	1.118	0.055	0.241	0.048	31.61	                 
NGC7172                                 	  NGC7172        	 J220201.8-315213 	 Sa              	                 	                 	                 	                 	0.6	1.2	1.44	0.028	0.179	0.028	104.7	                 
NGC7213                                 	  NGC7213        	 J220916.3-471001 	 Sa              	                 	                 	                 	                 	0.9	0.7	1.685	0.028	0.095	0.037	121.01	13.608
NGC7465                                 	  NGC7465        	 J230200.9+155753 	 S0              	 B               	                 	                 	                 	-1.8	0.5	1.027	0.042	0.219	0.026	161.5	14.493
NGC7469                                 	  NGC7469        	 J230315.6+085226 	 Sa              	 B               	                 	                 	                 	1.1	0.3	1.139	0.032	0.056	0.032	126	16.422
NGC7479                                 	  NGC7479        	 J230456.7+121922 	 SBbc            	 B               	                 	                 	                 	4.3	0.9	1.562	0.017	0.127	0.019	26.37	13.695
NGC7582                                 	  NGC7582        	 J231823.1-422211 	 SBab            	 B               	                 	                 	                 	2.1	0.5	1.842	0.022	0.34	0.037	156.34	13.69
NGC7603                                 	  NGC7603        	 J231856.6+001438 	 Sb              	                 	                 	                 	                 	3	0.5	1.078	0.044	0.277	0.029	162.59	                 
NGC7679                                 	  NGC7679        	 J232846.7+033041 	 S0-a            	 B               	                 	                 	                 	-1.3	2	1.09	0.044	0.198	0.025	86.08	15.47
NGC788                                  	  NGC0788        	 J020106.4-064857 	 S0-a            	                 	                 	                 	                 	0	0.5	1.24	0.037	0.088	0.024	108.09	                 
NGC931                                  	  NGC0931        	 J022814.5+311841 	 Sbc             	                 	                 	                 	                 	3.6	0.6	1.39	0.032	0.551	0.028	74.75	14.012
NGC985                                  	  NGC0985        	 J023437.9-084716 	 I               	                 	                 	 M               	                 	9.6	1.5	0.935	0.046	0.117	0.025	80.27	                 
PG2304+042                              	  PGC070504      	 J230702.9+043257 	                 	                 	                 	                 	                 	                 	                 	0.66	0.077	0.11	0.028	19	                 
PGC3096552                              	  PGC3096552     	 J173728.2-290802 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 
PICTORA                                 	  ESO252-018A    	 J051949.7-454644 	 S0              	                 	                 	                 	                 	-2	3	0.69	0.067	0.18	0.028	81.74	                 
PKS2331-240                             	  PGC071756      	 J233355.2-234341 	 S0-a            	                 	                 	                 	                 	-1	2	0.777	0.122	0.161	0.042	45	                 
SBS0915+556                             	  PGC101470      	 J091913.2+552755 	 E               	                 	                 	                 	                 	-5	3	0.504	0.335	0.196	0.1	62.66	                 
SBS1301+540                             	  PGC045125      	 J130359.5+534730 	 SABb            	 B               	                 	                 	                 	3.6	2.2	0.746	0.075	0.341	0.027	106.48	                 
SDSSJ104326.47+110524.2                 	  SDSSJ104326.47+110524.2 	 J104326.5+110524 	                 	                 	                 	                 	                 	                 	                 	0.513	0.33	0.121	0.1	127.04	17.982
UGC01479                                	  UGC01479       	 J020019.1+242825 	 Sbc             	                 	                 	                 	                 	3.5	1.5	1.014	0.104	0.563	0.072	178	17.068
UGC03142                                	  UGC03142       	 J044346.8+285818 	 S0-a            	 B               	                 	                 	 D               	0	0.7	0.973	0.047	0.092	0.026	179.85	16.097
UGC03478                                	  UGC03478       	 J063247.2+634025 	 SABb            	 B               	                 	                 	                 	3	0.5	1.037	0.053	0.47	0.028	34.32	15.096
UGC03601                                	  UGC03601       	 J065549.5+400001 	                 	                 	                 	                 	                 	                 	                 	0.681	0.16	0.117	0.059	13.08	12.388
UGC03995A                               	  PGC093091      	 J074407.0+291457 	 Sbc             	                 	                 	                 	                 	3.6	2.2	0.418	0.648	0.159	0.08	55.01	15.307
UGC05881                                	  UGC05881       	 J104642.5+255554 	 Sa              	                 	 R               	                 	                 	1	0.4	1.041	0.042	0.382	0.025	54.67	17.043
UGC06728                                	  UGC06728       	 J114516.0+794053 	 S0-a            	 B               	                 	                 	                 	-0.1	0.4	1.027	0.093	0.194	0.053	146.72	                 
UGC07064                                	  UGC07064       	 J120443.3+311038 	 SBb             	 B               	 R               	                 	                 	3.1	0.8	0.928	0.043	0.008	0.021	                 	18.139
UGC08327NED02                           	  PGC046101      	 J131517.3+442426 	 S0-a            	                 	                 	 M               	                 	0.2	2	0.913	0.123	0.167	0.052	90.52	                 
UGC10593                                	  UGC10593       	 J165218.7+555419 	 Sab             	                 	                 	                 	                 	2	0.3	1.102	0.091	0.424	0.064	81.41	16.56
UGC11185NED02                           	  PGC061662      	 J181611.8+423940 	                 	                 	                 	 M               	                 	                 	                 	0.955	0.212	0	0.081	                 	                 
UGC12237                                	  UGC12237       	 J225419.7+114657 	 Sbc             	                 	                 	                 	                 	4	0.3	1.212	0.038	0.648	0.036	92.5	15.305
UGC12282                                	  UGC12282       	 J225855.3+405556 	 SABa            	 B               	                 	                 	                 	1	0.4	1.248	0.069	0.564	0.049	2.33	15.184
UGC12741                                	  UGC12741       	 J234155.4+303454 	 Sa              	                 	                 	                 	                 	1.1	0.5	0.958	0.05	0.44	0.028	100.25	15.263
UM614                                   	  PGC049078      	 J134952.8+020445 	 Sa              	                 	 R               	                 	 C               	1	2	0.789	0.224	0.213	0.093	37.43	17.258
VIIZw073                                	  PGC019157      	 J063025.6+634041 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	                 	150	                 
WKK1263                                 	  PGC166252      	 J124125.7-575004 	 Sc              	                 	                 	                 	                 	5	1.4	0.555	0.397	0.158	0.115	135.5	                 
WKK4374                                 	  PGC3079667     	 J145133.2-554039 	 Sc              	                 	                 	                 	                 	5	2	0.397	0.502	0.25	0.115	0	                 
WKK4438                                 	  PGC3076910     	 J145517.4-513415 	 Sc              	                 	                 	                 	                 	5	2	0.64	0.349	0.168	0.115	135	                 
WKK6092                                 	  PGC2793282     	 J161151.4-603755 	 Sbc             	 B               	                 	                 	                 	3.5	1.8	0.949	0.128	0.076	0.075	83.45	                 
WKK6471                                 	  PGC3078020     	 J161836.4-592717 	 Sc              	                 	                 	                 	                 	5	2	0.535	0.409	0.063	0.115	20	                 
